姓名,身份证号,学号,专业班级,C1,C2,C3,C4,C5
吴玉英,522601XXXXXXXX8284,2023216000,城市地下空间23-2班,83,80,44,60,C
曹兵,340223XXXXXXXX3201,2023216001,城市地下空间23-2班,73,26,53,53,D
赵红霞,610826XXXXXXXX1443,2023216002,机械工程23-2班,63,32,32,85,C
赵淑英,441284XXXXXXXX8039,2023216003,城市地下空间23-3班,76,90,36,70,A-
任洁,510922XXXXXXXX7478,2023216004,法学23-1班,88,47,47,76,B
刘欢,513322XXXXXXXX1539,2023216005,法学23-2班,77,70,42,65,A
曾建军,511323XXXXXXXX8640,2023216006,物流管理23-1班,85,27,34,85,B+
张颖,640106XXXXXXXX2360,2023216007,法学23-1班,79,87,35,100,B+
沈畅,451281XXXXXXXX5178,2023216008,化工23-2班,59,28,40,57,A+
黄玉兰,410423XXXXXXXX5044,2023216009,法学23-3班,60,88,47,52,A-
官华,320115XXXXXXXX2987,2023216010,化工23-2班,61,38,23,62,A-
罗秀荣,654225XXXXXXXX6864,2023216011,法学23-1班,49,94,68,81,C-
黄春梅,422828XXXXXXXX9124,2023216012,新能源23-1班,85,36,98,57,D+
唐超,360000XXXXXXXX2721,2023216013,英语23-2班,58,73,70,87,E
徐建,513435XXXXXXXX5639,2023216014,新能源23-3班,96,50,59,66,A-
刘冬梅,450321XXXXXXXX4252,2023216015,法学23-1班,92,67,99,46,C
王鑫,421101XXXXXXXX8526,2023216016,新能源23-2班,51,29,32,67,E
边建华,500117XXXXXXXX484X,2023216017,物流管理23-3班,86,25,89,93,A-
申凯,431125XXXXXXXX7234,2023216018,计算机23-2班,60,83,35,57,A-
吴雪,150501XXXXXXXX5548,2023216019,自动化23-2班,55,68,19,65,C-
韦林,130900XXXXXXXX0147,2023216020,电信科23-1班,74,73,36,54,D
邹红,430400XXXXXXXX8492,2023216021,城市地下空间23-3班,84,72,43,68,B
范玉兰,140726XXXXXXXX0275,2023216022,化工23-1班,83,58,96,76,D
陈雪,360428XXXXXXXX2496,2023216023,机械工程23-3班,57,44,52,96,A
刘兵,130404XXXXXXXX8134,2023216024,物流管理23-3班,85,67,34,63,B+
邢志强,445321XXXXXXXX338X,2023216025,广告23-1班,57,43,53,35,C+
邓俊,410101XXXXXXXX5460,2023216026,机械工程23-3班,49,63,60,74,B
卢秀芳,430203XXXXXXXX5805,2023216027,食品23-3班,95,77,72,87,B+
任雪梅,230221XXXXXXXX5360,2023216028,法学23-3班,71,48,76,39,C-
陈博,140729XXXXXXXX8146,2023216029,自动化23-2班,64,34,90,55,A-
侯淑珍,451000XXXXXXXX2261,2023216030,环境23-3班,88,28,31,76,C
李亮,430426XXXXXXXX0616,2023216031,土木工程23-3班,61,26,93,35,B
马楠,440604XXXXXXXX2028,2023216032,法学23-1班,51,78,100,38,B
程帅,511623XXXXXXXX3378,2023216033,城市地下空间23-2班,83,85,43,39,B-
马婷婷,410928XXXXXXXX3901,2023216034,食品23-1班,48,65,84,35,C+
张玲,450921XXXXXXXX7312,2023216035,新媒体23-2班,69,77,19,97,D+
王桂花,130628XXXXXXXX800X,2023216036,物流管理23-3班,88,67,92,82,C+
钟红梅,610402XXXXXXXX2510,2023216037,环境23-2班,100,73,50,71,B+
王璐,150625XXXXXXXX0581,2023216038,食品23-1班,86,44,31,56,C-
景飞,430112XXXXXXXX5404,2023216039,英语23-3班,50,42,48,54,D-
陈丹,341204XXXXXXXX6619,2023216040,土木工程23-2班,92,97,79,44,E
凌婷,140723XXXXXXXX7109,2023216041,广告23-2班,90,69,63,67,B-
夏秀英,130426XXXXXXXX0557,2023216042,新媒体23-3班,99,86,57,90,A-
李玉,460202XXXXXXXX4569,2023216043,物流管理23-2班,55,27,70,50,C
李桂荣,211224XXXXXXXX9376,2023216044,物流管理23-2班,65,53,77,88,B
朱莹,650200XXXXXXXX7229,2023216045,机械工程23-2班,99,29,97,98,C+
朱明,420582XXXXXXXX0111,2023216046,英语23-2班,87,43,83,81,B
季凤兰,341801XXXXXXXX5772,2023216047,法学23-1班,63,82,21,69,A-
刘洁,150722XXXXXXXX2127,2023216048,英语23-2班,58,34,31,79,D+
王勇,360103XXXXXXXX6938,2023216049,食品23-3班,99,84,63,45,A-
程华,130111XXXXXXXX2972,2023216050,食品23-3班,89,32,74,64,B+
王建,450600XXXXXXXX7113,2023216051,英语23-2班,64,38,30,83,C-
吕飞,370724XXXXXXXX8096,2023216052,经济23-2班,93,51,42,97,A-
嵇慧,410411XXXXXXXX0300,2023216053,城市地下空间23-2班,47,85,18,39,A+
高飞,522729XXXXXXXX281X,2023216054,化工23-1班,67,27,41,96,B
邓平,420301XXXXXXXX8613,2023216055,物流管理23-2班,91,69,54,97,B-
朱军,370000XXXXXXXX6124,2023216056,食品23-3班,58,60,18,69,A+
周静,469006XXXXXXXX8842,2023216057,法学23-1班,72,86,85,67,D-
高玉珍,360105XXXXXXXX1055,2023216058,法学23-1班,58,100,60,56,D-
韦娟,441523XXXXXXXX9283,2023216059,物流管理23-3班,99,56,28,35,B-
宁俊,451424XXXXXXXX1794,2023216060,广告23-1班,55,40,88,47,E
王平,130102XXXXXXXX7730,2023216061,电信科23-1班,81,75,40,82,C-
王淑华,650101XXXXXXXX0219,2023216062,计算机23-2班,95,45,34,42,B-
呼凤兰,350628XXXXXXXX0626,2023216063,环境23-3班,90,93,34,67,B+
金淑兰,341881XXXXXXXX743X,2023216064,电信科23-3班,74,83,22,73,C-
董红梅,371701XXXXXXXX7031,2023216065,计算机23-2班,46,86,91,53,A
吴玉兰,510411XXXXXXXX2521,2023216066,化工23-1班,94,89,44,67,B
居婷,620100XXXXXXXX3270,2023216067,土木工程23-1班,46,61,49,86,A
王慧,141130XXXXXXXX6624,2023216068,食品23-1班,97,76,73,67,B
张想,410523XXXXXXXX4211,2023216069,机械工程23-2班,47,52,55,61,C+
陈桂花,370782XXXXXXXX3777,2023216070,新媒体23-2班,52,79,28,70,A
胡杰,430527XXXXXXXX7902,2023216071,物流管理23-3班,58,90,51,58,C+
覃建国,341222XXXXXXXX6674,2023216072,计算机23-2班,79,53,49,87,B-
曾磊,654002XXXXXXXX8062,2023216073,新能源23-1班,54,60,91,72,C-
赵玉华,532930XXXXXXXX1297,2023216074,经济23-3班,59,39,42,66,B+
雷慧,371701XXXXXXXX0870,2023216075,土木工程23-1班,90,59,54,49,D+
朱红霞,540101XXXXXXXX3989,2023216076,土木工程23-3班,84,25,16,42,B+
